Name,Qty,Reference(s),Price (USD),Comments,Link
Seeed XIAO ESP32-S3 Plus,1,U1,$7.59,Main MCU module. SMD footprint (castellated). Source direct from Seeed for genuine part.,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32S3-Plus-p-6361.html
PCM5102A DAC (TSSOP-20),1,U2,$1.11,Bare IC from LCSC (C107671). I2S DAC driving the 3.5mm headphone jack.,https://www.lcsc.com/product-detail/C107671.html
MAX98357A Class-D Amplifier (TQFN-16),1,U3,$2,Bare TQFN-16 3x3mm IC — NOT a breakout module. Check LCSC / DigiKey / Mouser for current price.,https://octopart.com/max98357aete+t-maxim+integrated-33346832
CVS-1708 Speaker,1,LS1,$4.02,8Ω 200mW 1.2kHz–20kHz. Same Sky (formerly CUI). DigiKey.,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CVS-1708/2791829
Hirose DM3AT-SF-PEJM5 microSD Slot,1,J1,$1.53,Push-push with card detect. LCSC (C114218).,https://www.lcsc.com/product-detail/SD-Card-Connectors_HRS-Hirose-DM3AT-SF-PEJM5_C114218.html
CUI SJ-3523-SMT-TR 3.5mm Audio Jack,1,J2,$0.88,Horizontal SMT stereo TRS jack. DigiKey.,https://www.digikey.com/en/products/detail/cui-devices/SJ-3523-SMT-TR/281297
1×8 Pin Header 2.54mm (through-hole),1,J3,$7.99,Screen connector for Waveshare LCD. Must use long header pins (see assembly notes).,https://www.amazon.com/whiteeeen-Break-Away-Header-Straight-Connector/dp/B0B75RKMD2
JST PH S2B-PH-K 2-pin Connector,1,J4,$0.11,Battery connector. 2.0mm pitch horizontal SMT. Very cheap — order from DigiKey or LCSC.,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S2B-PH-K-S/926626
Omron B3U-3100P-B Side Push Button,2,S1 / S2,$1.17,SMD side-actuated tactile. DigiKey. ×2 units needed.,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3U-3100P-B/1811780
EC11 Right-Angle Rotary Encoder (w/ switch),1,SW1,$4.07,Push-switch + encoder. Right-angle EC11. User-sourced AliExpress link.,https://www.aliexpress.us/item/3256809185234399.html
Capacitor 10µF 0603 (×4),4,C1 / C4 / C5 / C6,$0.01,X5R or X7R ceramic. Pennies each — order from LCSC. Search C107471 or equivalent.,https://www.lcsc.com/search?q=10uF+0603
Capacitor 100nF 0603 (×2),2,C2 / C3,$0.01,X7R ceramic decoupling. Pennies each — order from LCSC.,https://www.lcsc.com/search?q=100nF+0603
Resistor 1MΩ 0603 (×1),1,R1,0.01,1% tolerance preferred. Pennies each — order from LCSC.,https://www.lcsc.com/search?q=1M+0603+resistor
Waveshare 2.4in LCD Module,1,—,$18.99,240×320 SPI (ILI9341). Connects to J3 header. Closest size match to original H.I.R.O screen.,https://www.amazon.com/Waveshare-2-4inch-Display-Resolution-Interface/dp/B08H24H7KX
LiPo Battery 3.7V,1,—,$9.99,Any single-cell LiPo with JST PH 2.0mm connector. Slides under screen in case. 500mAh+ recommended.,https://www.amazon.com/Battery-Rechargeable-Lithium-Polymer-Connector/dp/B07S84SBV3
M3×14 Socket Head Cap Screws,7,—,$6.99,4× screen brackets + 3× lid. Stainless steel A2.,https://a.co/d/00dNH8NP
3D Printed Main Casing,1,—,$0.10,Print from Cad/ directory. Sand if needed for PCB fit (see assembly notes).,https://github.com/Broseph9972/H.I.R.O-MDS-0027/tree/main/Cad
3D Printed Lid,1,—,$0.10,Print from Cad/ directory. 3× M3×14 screw holes.,https://github.com/Broseph9972/H.I.R.O-MDS-0027/tree/main/Cad
Custom PCB (H.I.R.O),1,—,$7.50,Fabricate from Pcb/ gerbers. JLCPCB / PCBWay / OSH Park.,https://github.com/Broseph9972/H.I.R.O-MDS-0027/tree/main/Pcb
Paint (optional),1,—,$0,Spray paint or acrylic.,_
TOTAL,—,—,$75.38,Qty × unit price across all lines (screws/header counted as pack price; optional paint at $0).,__
