Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C6",0603,4,10 µF,
"C2, C3",0603,2,100nF,
J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J4,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
LS1,SPKR_CVS-1708,1,CVS-1708,
R1,0603,1,1M,
"S1, S2",SW_SPST_B3U-3100P,2,B3U-3100P-B,
SW1,Right angle EC11 Rotary Encoder,1,RotaryEncoder_Switch,
U1,XIAO-ESP32-S3-Plus-SMD,1,XIAO-ESP32-S3-Plus-SMD,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
