Designator,Mid X,Mid Y,Rotation,Layer
C1,110.3125,-135.375,270.0,top
C2,109.3625,-139.825,0.0,top
C3,118.2125,-133.075,270.0,top
C4,122.0,-134.0,90.0,top
C5,120.5125,-136.575,0.0,top
C6,109.3625,-137.825,180.0,top
J1,150.73,-45.065,180.0,top
J2,102.0,-134.0,180.0,top
J3,96.99,-65.06,0.0,top
J4,145.55,-129.2,0.0,top
LS1,101.5,-100.0,0.0,top
R1,146.5,-137.2125,90.0,top
S1,166.734935,-68.736455,0.0,top
S2,166.734935,-109.736455,0.0,top
SW1,169.004935,-91.736455,90.0,top
U1,132.356012,-132.517823,270.0,top
U2,114.95,-138.2,270.0,top
U3,145.5,-133.3625,90.0,top
